feature,score
model_9,8760
model_8,7535
brand_9,7343
age,7182
brand_8,7180
model_1,6703
model_4,6504
model_2,6414
model_3,6233
brand_1,5983
brand_4,5784
brand_2,5649
brand_3,5555
time,5105
ARPU_7,4752
ARPU_9,4669
ARPU_3,4652
ARPU_2,4651
num,4620
ARPU_1,4559
ARPU_8,4486
ARPU_6,4371
ARPU_5,4340
ARPU_4,4302
sex,2744
audio_1,2554
audio_9,2441
audio_2,2236
audio_8,2100
audio_7,1874
audio_3,1846
data_6,1834
message_3,1832
data_7,1779
message_1,1754
message_4,1718
message_2,1717
message_9,1708
data_9,1698
net,1668
message_6,1659
data_5,1635
message_7,1623
message_5,1600
audio_5,1594
message_8,1579
data_3,1564
data_8,1564
data_1,1562
audio_6,1542
data_2,1524
audio_4,1505
data_4,1497
label4,1323
label2,1222
label1,1218
label3,1212
